#     run      RA         Dec        MJDstart       MJDend         node  inclination     mu0       nu0
#       1  318.620784  -1.053274   51464.171742   51464.188767  95.000000   0.000000 318.620784  -1.053274
    2735  143.564981  48.118498   52233.453923   52233.505752  94.999000  57.504439 158.774314  -1.269659
    2738   13.829715  -1.057481   52234.207484   52234.336850 332.802316   0.001259  13.829698  -1.058307
    2740  114.506354  23.502565   52234.368713   52234.495175  94.998481  55.006863 125.159983  -1.270670
    2766   11.172175  -7.404566   52253.077861   52253.106885 189.985253 -90.001681   2.579081  -1.176806
    2768  343.697088  -1.056602   52253.139112   52253.255209 268.593671   0.002122 343.697078  -1.058652
    2777  113.130166  22.276375   52258.297085   52258.406548  94.996610  55.007951 123.407522  -1.063312
    2820   21.631632  -1.058609   52261.192450   52261.298596 140.156571   0.005341  21.631679  -1.053916
    2821  144.232475  45.995324   52261.312598   52261.395525  95.002671  54.998541 158.018417  -1.054116
    2822  112.457614  23.435042   52261.405297   52261.511029  94.992794  57.510406 123.904281  -1.067954
    2825  113.015558  23.771582   52262.248106   52262.355081  95.004217  57.505653 124.484432  -1.267714
    2826  126.326036  37.694672   52262.366514   52262.517440  95.000373  57.509475 142.464736  -1.062858
    2830  114.974581  22.094605   52263.254234   52263.477306  95.001538  52.506906 124.420820  -1.270522
    2831  138.935964  45.852037   52263.487102   52263.519444  94.977935  57.550265 154.877537  -1.316718
    2855   20.723588  -1.060161   52282.116563   52282.140198  95.000000   0.000000  20.723588  -1.060161
    2856   29.512168  -1.058004   52282.149331   52282.195769 127.373155   0.008830  29.512190  -1.049257
    2861   33.856887  -1.056908   52283.093680   52283.174534 145.447671   0.002339  33.856903  -1.054733
    2863  124.688280  36.308432   52283.226501   52283.317720  95.000299  57.498939 140.558702  -1.056827
    2864  113.407419  20.762310   52283.328855   52283.431684  94.999456  52.500221 122.455445  -1.057581
    2873   19.069555  -1.058035   52287.065845   52287.182356 320.029998   0.003898  19.069518  -1.061378
    2882  141.714959  42.231931   52287.330620   52287.362962  95.000000  52.500000 154.486174  -1.056970
    2883  143.996665  43.286113   52287.371237   52287.503919  95.000762  52.502263 156.466010  -1.058295
    2886   16.684044  -1.267838   52288.058657   52288.181803 326.945353   0.002443  16.684009  -1.269702
    2887  114.090483  19.456614   52288.190367   52288.329269  95.000059  50.003420 121.968437  -1.269436
    2888  113.686464  19.360745   52288.340329   52288.423670  94.996595  50.004358 121.635172  -1.062000
    2955   75.380062  -1.057369   52312.075420   52312.135542   9.820768   0.004700  75.380026  -1.061648
    2960   76.568840  -1.267478   52313.063702   52313.111799  25.785496   0.005101  76.568768  -1.271430
    2961  117.947510  23.133780   52313.120214   52313.177848  95.008815  49.999194 127.113739  -1.261174
